;;2 COLUMNAS;;;;;;;;;;;;;;;;;
PEUGEOT;EXPERT;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
MERCEDES;SPRINTER;NO;NO;NO;NO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
BMW;G12;JUSTO;SI;JUSTO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
MERCEDES;VITO;JUSTO;SI;JUSTO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
NISSAN;PRIMASTAR;JUSTO;SI;JUSTO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
VOLKSWAGEN;CRAFTER DOKA L3 ZWILLING H-L;NO;NO;NO;NO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
VOLKSWAGEN;CRAFTER F-Q y EIKA F-Q L3;NO;NO;NO;NO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
VOLKSWAGEN;CRAFTER L3 ZWILLING;NO;NO;NO;NO;SI;JUSTO;SI;JUSTO;SI;JUSTO;SI;JUSTO;SI;SI;SI;SI;SI;SI
VOLKSWAGEN;CRAFTER L3 F-Q + 4X4;NO;NO;NO;NO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
RENAULT;TRAFFIC;NO;NO;NO;NO;SI;JUSTO;SI;JUSTO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
VOLKSWAGEN;CRAFTER DOKA ZWILLING H/L L4 + FQ;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;SI;JUSTO;JUSTO;SI;NO
VOLKSWAGEN;CRAFTER EIKA F-Q L4;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;SI;JUSTO;JUSTO;SI;NO
VOLKSWAGEN;CRAFTER L4 ZWILLING;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;SI;NO;SI;NO;NO
VOLKSWAGEN;CRAFTER L4 F/Q + 4X4;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;SI;NO;SI;SI;NO
VOLKSWAGEN;CRAFTER L5 F/Q + 4X4;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;SI;NO;SI;SI;NO
